donor_id,password,total_donation,first_donation_date,total_units_donated,birthday,address
1,Pass5960,3,2021-02-28,6,2000-06-12,"82, Street C, Bangalore"
2,Pass8996,10,2023-01-04,20,1989-01-31,"147, Street B, Bangalore"
3,Pass7460,4,2023-02-04,4,1995-09-18,"8, Street B, Bangalore"
4,Pass9135,7,2022-06-11,14,1970-04-02,"78, Street B, Bangalore"
5,Pass7518,1,2021-07-26,1,1966-10-17,"103, Street A, Bangalore"
6,Pass6062,2,2020-11-04,4,1981-09-10,"195, Street C, Bangalore"
7,Pass1905,6,2024-01-11,6,1999-12-30,"149, Street B, Bangalore"
8,Pass3863,8,2021-08-05,16,2002-07-30,"6, Street B, Bangalore"
9,Pass9212,2,2020-09-06,4,1991-11-20,"158, Street B, Bangalore"
10,Pass3624,11,2021-08-28,22,1972-05-03,"167, Street D, Bangalore"
11,Pass7095,10,2023-10-26,10,1985-01-13,"153, Street C, Bangalore"
12,Pass6811,4,2023-03-21,8,1979-09-16,"66, Street B, Bangalore"
13,Pass4478,5,2024-03-10,5,1991-12-27,"106, Street B, Bangalore"
14,Pass9582,4,2020-08-01,8,1992-09-21,"187, Street D, Bangalore"
15,Pass7939,5,2025-01-21,5,1980-08-29,"66, Street D, Bangalore"
16,Pass2448,15,2023-01-08,30,1986-03-09,"133, Street A, Bangalore"
17,Pass9072,15,2023-12-30,15,2001-09-25,"79, Street B, Bangalore"
18,Pass9439,15,2021-04-10,15,1978-12-02,"15, Street D, Bangalore"
19,Pass1450,11,2022-09-05,22,1993-11-28,"160, Street C, Bangalore"
20,Pass5442,11,2023-09-09,22,1988-08-26,"168, Street C, Bangalore"
21,Pass1667,2,2022-10-13,4,1990-04-07,"75, Street C, Bangalore"
22,Pass3127,9,2023-09-13,9,2004-05-21,"155, Street C, Bangalore"
23,Pass9713,6,2022-03-17,12,1971-04-09,"145, Street B, Bangalore"
24,Pass4568,13,2021-04-15,13,1982-12-18,"133, Street C, Bangalore"
25,Pass2045,3,2024-01-07,6,2002-06-17,"36, Street A, Bangalore"
26,Pass2310,1,2022-03-11,2,2001-08-15,"174, Street B, Bangalore"
27,Pass5100,13,2023-10-04,13,1994-01-23,"127, Street D, Bangalore"
28,Pass9206,11,2020-05-11,22,1980-09-25,"164, Street A, Bangalore"
29,Pass9754,13,2021-01-21,13,1998-04-19,"143, Street A, Bangalore"
30,Pass5248,15,2020-04-17,30,1991-01-03,"114, Street C, Bangalore"
31,Pass8177,6,2020-12-12,12,1995-11-26,"11, Street B, Bangalore"
32,Pass3314,2,2021-11-29,4,1967-06-10,"168, Street C, Bangalore"
33,Pass4742,4,2020-07-25,4,1973-04-11,"37, Street A, Bangalore"
34,Pass3348,5,2023-01-11,10,1998-02-03,"17, Street B, Bangalore"
35,Pass5795,11,2023-03-11,22,1973-08-15,"85, Street B, Bangalore"
36,Pass9860,7,2022-02-26,7,1997-01-26,"147, Street B, Bangalore"
37,Pass4522,8,2021-05-11,8,1977-05-03,"189, Street C, Bangalore"
38,Pass9265,7,2021-05-02,7,1985-05-21,"103, Street C, Bangalore"
39,Pass5130,9,2021-06-04,18,1970-05-27,"133, Street A, Bangalore"
40,Pass5756,13,2023-01-03,13,1988-03-02,"97, Street A, Bangalore"
41,Pass8413,5,2022-11-02,10,2003-07-22,"66, Street A, Bangalore"
42,Pass5142,2,2024-08-07,4,2003-10-03,"13, Street C, Bangalore"
43,Pass3660,5,2022-06-12,10,1969-01-30,"199, Street A, Bangalore"
44,Pass2520,1,2020-08-23,1,1971-06-14,"46, Street B, Bangalore"
45,Pass9256,15,2024-10-29,30,1996-03-09,"119, Street C, Bangalore"
46,Pass5313,9,2024-10-30,18,1993-01-11,"128, Street C, Bangalore"
47,Pass9670,10,2024-05-06,20,1970-04-14,"143, Street C, Bangalore"
48,Pass5216,2,2020-06-11,4,2000-07-03,"65, Street A, Bangalore"
49,Pass4336,12,2024-11-08,24,1967-09-19,"171, Street B, Bangalore"
50,Pass4807,12,2024-07-25,12,1968-09-17,"186, Street A, Bangalore"
