donor_id,name,email,phone,blood_group,city,lat,lon,last_donated,cooldown_complete,health_flag,ranking_score,blood_group_id
1,Donor 1,donor1@mail.com,+91-7574228482,O-,Bangalore,12.975207592391143,77.56417843388553,2025-07-01,False,Good,4.26,6
2,Donor 2,donor2@mail.com,+91-9860082543,AB+,Bangalore,12.988896608186243,77.58170009952048,2025-03-07,True,Needs Checkup,3.41,7
3,Donor 3,donor3@mail.com,+91-7457449286,O-,Bangalore,12.962652325136192,77.59744326770299,2025-03-01,True,Good,3.66,6
4,Donor 4,donor4@mail.com,+91-9549504652,O+,Bangalore,12.963900739407752,77.59063579248377,2025-02-23,True,Needs Checkup,2.87,5
5,Donor 5,donor5@mail.com,+91-8184668821,O+,Bangalore,12.985705524072507,77.57729299217827,2024-11-10,True,Good,1.39,5
6,Donor 6,donor6@mail.com,+91-7676526946,A+,Bangalore,12.949506601715232,77.56366557284159,2024-08-22,True,Needs Checkup,3.05,1
7,Donor 7,donor7@mail.com,+91-9226078570,A+,Bangalore,12.975892409963572,77.60771647507417,2025-07-22,False,Needs Checkup,3.97,1
8,Donor 8,donor8@mail.com,+91-7022699279,B-,Bangalore,12.957869629826693,77.5792262948709,2025-04-05,True,Needs Checkup,1.48,4
9,Donor 9,donor9@mail.com,+91-7928621864,A+,Bangalore,12.951820900898085,77.5771929094329,2025-07-25,False,Good,1.98,1
10,Donor 10,donor10@mail.com,+91-7321500763,A-,Bangalore,12.958062948577544,77.57380519321033,2024-08-23,True,Needs Checkup,3.87,2
11,Donor 11,donor11@mail.com,+91-7242925155,AB-,Bangalore,12.961756056489238,77.61435046793488,2025-01-23,True,Good,1.21,8
12,Donor 12,donor12@mail.com,+91-7597218243,A-,Bangalore,12.97327523081465,77.61221841900206,2024-07-24,True,Needs Checkup,3.97,2
13,Donor 13,donor13@mail.com,+91-8979289979,O+,Bangalore,12.974337777686683,77.58016142666227,2024-08-07,True,Needs Checkup,3.23,5
14,Donor 14,donor14@mail.com,+91-8616797708,A-,Bangalore,12.990484600767449,77.59956994628091,2025-07-14,False,Good,1.96,2
15,Donor 15,donor15@mail.com,+91-8705325641,AB+,Bangalore,12.994017694029685,77.61270047863798,2024-09-07,True,Good,2.08,7
16,Donor 16,donor16@mail.com,+91-7708904602,B-,Bangalore,12.953745870495762,77.56897492877293,2025-02-17,True,Good,2.14,4
17,Donor 17,donor17@mail.com,+91-8510240676,B-,Bangalore,12.986522592623963,77.58276285583321,2024-10-17,True,Good,2.2,4
18,Donor 18,donor18@mail.com,+91-7890164289,O+,Bangalore,12.99492932791178,77.59820802099651,2025-02-08,True,Good,2.17,5
19,Donor 19,donor19@mail.com,+91-9992184347,A-,Bangalore,12.99512159152254,77.58057145931367,2025-01-27,True,Good,4.74,2
20,Donor 20,donor20@mail.com,+91-9933654030,A+,Bangalore,12.943234385669916,77.59319521312216,2025-02-14,True,Needs Checkup,1.11,1
21,Donor 21,donor21@mail.com,+91-8859552665,B-,Bangalore,12.993860333231453,77.60862937890174,2025-05-25,False,Needs Checkup,2.73,4
22,Donor 22,donor22@mail.com,+91-7106769201,O+,Bangalore,12.988601467197446,77.5980114247559,2025-03-03,True,Good,3.85,5
23,Donor 23,donor23@mail.com,+91-9574752135,AB-,Bangalore,12.955503752027573,77.5908511027365,2024-11-15,True,Needs Checkup,3.18,8
