username,password,remember_me,bank_id
username,password,remember_me,bank_id
user1,pass1!,False,21
user2,pass2!,False,57
user3,pass3!,True,34
user4,pass4!,True,89
user5,pass5!,False,62
user6,pass6!,True,45
user7,pass7!,True,78
user8,pass8!,False,53
user9,pass9!,True,91
user10,pass10!,False,38
user11,pass11!,True,84
user12,pass12!,True,27
user13,pass13!,True,66
user14,pass14!,True,73
user15,pass15!,False,59
user16,pass16!,True,95
user17,pass17!,True,41
user18,pass18!,False,80
user19,pass19!,True,36
user20,pass20!,True,70
