donor_id,name,email,phone,blood_group,city,lat,lon,last_donated,cooldown_complete,health_flag,ranking_score,blood_group_id,password,total_donation,first_donation_date,total_units_donated,birthday,address,eligible
1,Donor 1,donor1@mail.com,+91-7574228482,O-,Bangalore,12.975207592391143,77.56417843388553,2025-07-01,False,Good,4.26,6,Pass5960,3,2021-02-28,6,2000-06-12,"82, Street C, Bangalore",yes
2,Donor 2,donor2@mail.com,+91-9860082543,AB+,Bangalore,12.988896608186243,77.58170009952048,2025-03-07,True,Needs Checkup,3.41,7,Pass8996,10,2023-01-04,20,1989-01-31,"147, Street B, Bangalore",
3,Donor 3,donor3@mail.com,+91-7457449286,O-,Bangalore,12.962652325136192,77.59744326770299,2025-03-01,True,Good,3.66,6,Pass7460,4,2023-02-04,4,1995-09-18,"8, Street B, Bangalore",
4,Donor 4,donor4@mail.com,+91-9549504652,O+,Bangalore,12.963900739407752,77.59063579248377,2025-02-23,True,Needs Checkup,2.87,5,Pass9135,7,2022-06-11,14,1970-04-02,"78, Street B, Bangalore",
5,Donor 5,donor5@mail.com,+91-8184668821,O+,Bangalore,12.985705524072507,77.57729299217827,2024-11-10,True,Good,1.39,5,Pass7518,1,2021-07-26,1,1966-10-17,"103, Street A, Bangalore",
6,Donor 6,donor6@mail.com,+91-7676526946,A+,Bangalore,12.949506601715232,77.56366557284159,2024-08-22,True,Needs Checkup,3.05,1,Pass6062,2,2020-11-04,4,1981-09-10,"195, Street C, Bangalore",
7,Donor 7,donor7@mail.com,+91-9226078570,A+,Bangalore,12.975892409963572,77.60771647507417,2025-07-22,False,Needs Checkup,3.97,1,Pass1905,6,2024-01-11,6,1999-12-30,"149, Street B, Bangalore",
8,Donor 8,donor8@mail.com,+91-7022699279,B-,Bangalore,12.957869629826693,77.5792262948709,2025-04-05,True,Needs Checkup,1.48,4,Pass3863,8,2021-08-05,16,2002-07-30,"6, Street B, Bangalore",
9,Donor 9,donor9@mail.com,+91-7928621864,A+,Bangalore,12.951820900898085,77.5771929094329,2025-07-25,False,Good,1.98,1,Pass9212,2,2020-09-06,4,1991-11-20,"158, Street B, Bangalore",
10,Donor 10,donor10@mail.com,+91-7321500763,A-,Bangalore,12.958062948577544,77.57380519321033,2024-08-23,True,Needs Checkup,3.87,2,Pass3624,11,2021-08-28,22,1972-05-03,"167, Street D, Bangalore",
11,Donor 11,donor11@mail.com,+91-7242925155,AB-,Bangalore,12.961756056489238,77.61435046793488,2025-01-23,True,Good,1.21,8,Pass7095,10,2023-10-26,10,1985-01-13,"153, Street C, Bangalore",
12,Donor 12,donor12@mail.com,+91-7597218243,A-,Bangalore,12.97327523081465,77.61221841900206,2024-07-24,True,Needs Checkup,3.97,2,Pass6811,4,2023-03-21,8,1979-09-16,"66, Street B, Bangalore",
13,Donor 13,donor13@mail.com,+91-8979289979,O+,Bangalore,12.974337777686683,77.58016142666227,2024-08-07,True,Needs Checkup,3.23,5,Pass4478,5,2024-03-10,5,1991-12-27,"106, Street B, Bangalore",
14,Donor 14,donor14@mail.com,+91-8616797708,A-,Bangalore,12.990484600767449,77.59956994628091,2025-07-14,False,Good,1.96,2,Pass9582,4,2020-08-01,8,1992-09-21,"187, Street D, Bangalore",
15,Donor 15,donor15@mail.com,+91-8705325641,AB+,Bangalore,12.994017694029685,77.61270047863798,2024-09-07,True,Good,2.08,7,Pass7939,5,2025-01-21,5,1980-08-29,"66, Street D, Bangalore",
16,Donor 16,donor16@mail.com,+91-7708904602,B-,Bangalore,12.953745870495762,77.56897492877293,2025-02-17,True,Good,2.14,4,Pass2448,15,2023-01-08,30,1986-03-09,"133, Street A, Bangalore",
17,Donor 17,donor17@mail.com,+91-8510240676,B-,Bangalore,12.986522592623963,77.58276285583321,2024-10-17,True,Good,2.2,4,Pass9072,15,2023-12-30,15,2001-09-25,"79, Street B, Bangalore",
18,Donor 18,donor18@mail.com,+91-7890164289,O+,Bangalore,12.99492932791178,77.59820802099651,2025-02-08,True,Good,2.17,5,Pass9439,15,2021-04-10,15,1978-12-02,"15, Street D, Bangalore",
19,Donor 19,donor19@mail.com,+91-9992184347,A-,Bangalore,12.99512159152254,77.58057145931367,2025-01-27,True,Good,4.74,2,Pass1450,11,2022-09-05,22,1993-11-28,"160, Street C, Bangalore",
